,Date,Team 1,Team 2,Team 1 Ban 1,Team 1 Ban 2,Team 1 Ban 3,Team 1 Pick 1,Team 2 Ban 1,Team 2 Ban 2,Team 2 Ban 3,Team 2 Pick 1,decider,Map 1 Round 1 Winner,Map 1 Round 1 Bombsite,Map 1 Round 1 Win Type,Map 1 Round 2 Winner,Map 1 Round 2 Bombsite,Map 1 Round 2 Win Type,Map 1 Round 3 Winner,Map 1 Round 3 Bombsite,Map 1 Round 3 Win Type,Map 1 Round 4 Winner,Map 1 Round 4 Bombsite,Map 1 Round 4 Win Type,Map 1 Round 5 Winner,Map 1 Round 5 Bombsite,Map 1 Round 5 Win Type,Map 1 Round 6 Winner,Map 1 Round 6 Bombsite,Map 1 Round 6 Win Type,Map 1 Round 7 Winner,Map 1 Round 7 Bombsite,Map 1 Round 7 Win Type,Map 2 Round 0 Winner,Map 2 Round 0 Bombsite,Map 2 Round 0 Win Type,Map 2 Round 1 Winner,Map 2 Round 1 Bombsite,Map 2 Round 1 Win Type,Map 2 Round 2 Winner,Map 2 Round 2 Bombsite,Map 2 Round 2 Win Type,Map 2 Round 3 Winner,Map 2 Round 3 Bombsite,Map 2 Round 3 Win Type,Map 2 Round 4 Winner,Map 2 Round 4 Bombsite,Map 2 Round 4 Win Type,Map 2 Round 5 Winner,Map 2 Round 5 Bombsite,Map 2 Round 5 Win Type,Map 2 Round 6 Winner,Map 2 Round 6 Bombsite,Map 2 Round 6 Win Type,Map 2 Round 7 Winner,Map 2 Round 7 Bombsite,Map 2 Round 7 Win Type,Map 3 Round 0 Winner,Map 3 Round 0 Bombsite,Map 3 Round 0 Win Type,Map 3 Round 1 Winner,Map 3 Round 1 Bombsite,Map 3 Round 1 Win Type,Map 3 Round 2 Winner,Map 3 Round 2 Bombsite,Map 3 Round 2 Win Type,Map 3 Round 3 Winner,Map 3 Round 3 Bombsite,Map 3 Round 3 Win Type,Map 3 Round 4 Winner,Map 3 Round 4 Bombsite,Map 3 Round 4 Win Type,Map 3 Round 5 Winner,Map 3 Round 5 Bombsite,Map 3 Round 5 Win Type,Map 1 Round 8 Winner,Map 1 Round 8 Bombsite,Map 1 Round 8 Win Type,Map 3 Round 6 Winner,Map 3 Round 6 Bombsite,Map 3 Round 6 Win Type,Map 1 Round 9 Winner,Map 1 Round 9 Bombsite,Map 1 Round 9 Win Type,Map 1 Round 10 Winner,Map 1 Round 10 Bombsite,Map 1 Round 10 Win Type,Map 1 Round 11 Winner,Map 1 Round 11 Bombsite,Map 1 Round 11 Win Type,Map 2 Round 8 Winner,Map 2 Round 8 Bombsite,Map 2 Round 8 Win Type,Map 2 Round 9 Winner,Map 2 Round 9 Bombsite,Map 2 Round 9 Win Type,Map 3 Round 7 Winner,Map 3 Round 7 Bombsite,Map 3 Round 7 Win Type,Map 3 Round 8 Winner,Map 3 Round 8 Bombsite,Map 3 Round 8 Win Type,Map 3 Round 9 Winner,Map 3 Round 9 Bombsite,Map 3 Round 9 Win Type,Map 2 Round 10 Winner,Map 2 Round 10 Bombsite,Map 2 Round 10 Win Type,Map 3 Round 10 Winner,Map 3 Round 10 Bombsite,Map 3 Round 10 Win Type,Map 1 Round 12 Winner,Map 1 Round 12 Bombsite,Map 1 Round 12 Win Type,Map 2 Round 11 Winner,Map 2 Round 11 Bombsite,Map 2 Round 11 Win Type,Map 2 Round 12 Winner,Map 2 Round 12 Bombsite,Map 2 Round 12 Win Type,Map 1 Round 13 Winner,Map 1 Round 13 Bombsite,Map 1 Round 13 Win Type,Map 3 Round 11 Winner,Map 3 Round 11 Bombsite,Map 3 Round 11 Win Type,Map 3 Round 12 Winner,Map 3 Round 12 Bombsite,Map 3 Round 12 Win Type,Map 4 Round 0 Winner,Map 4 Round 0 Bombsite,Map 4 Round 0 Win Type,Map 4 Round 1 Winner,Map 4 Round 1 Bombsite,Map 4 Round 1 Win Type,Map 4 Round 2 Winner,Map 4 Round 2 Bombsite,Map 4 Round 2 Win Type,Map 4 Round 3 Winner,Map 4 Round 3 Bombsite,Map 4 Round 3 Win Type,Map 4 Round 4 Winner,Map 4 Round 4 Bombsite,Map 4 Round 4 Win Type,Map 4 Round 5 Winner,Map 4 Round 5 Bombsite,Map 4 Round 5 Win Type,Map 4 Round 6 Winner,Map 4 Round 6 Bombsite,Map 4 Round 6 Win Type,Map 4 Round 7 Winner,Map 4 Round 7 Bombsite,Map 4 Round 7 Win Type,Map 4 Round 8 Winner,Map 4 Round 8 Bombsite,Map 4 Round 8 Win Type,Map 4 Round 9 Winner,Map 4 Round 9 Bombsite,Map 4 Round 9 Win Type,Map 4 Round 10 Winner,Map 4 Round 10 Bombsite,Map 4 Round 10 Win Type,Map 4 Round 11 Winner,Map 4 Round 11 Bombsite,Map 4 Round 11 Win Type,Map 4 Round 12 Winner,Map 4 Round 12 Bombsite,Map 4 Round 12 Win Type,Team 1 Pick 2,Team 2 Pick 2,Map 1 Round 14 Winner,Map 1 Round 14 Bombsite,Map 1 Round 14 Win Type,Map 1 Round 15 Winner,Map 1 Round 15 Bombsite,Map 1 Round 15 Win Type,Map 2 Round 13 Winner,Map 2 Round 13 Bombsite,Map 2 Round 13 Win Type,Map 2 Round 14 Winner,Map 2 Round 14 Bombsite,Map 2 Round 14 Win Type,Map 1 Round 16 Winner,Map 1 Round 16 Bombsite,Map 1 Round 16 Win Type,Map 1 Round 17 Winner,Map 1 Round 17 Bombsite,Map 1 Round 17 Win Type,Map 1 Round 18 Winner,Map 1 Round 18 Bombsite,Map 1 Round 18 Win Type,Map 1 Round 19 Winner,Map 1 Round 19 Bombsite,Map 1 Round 19 Win Type,Map 1 Round 20 Winner,Map 1 Round 20 Bombsite,Map 1 Round 20 Win Type,Map 1 Round 21 Winner,Map 1 Round 21 Bombsite,Map 1 Round 21 Win Type,Map 1 Round 22 Winner,Map 1 Round 22 Bombsite,Map 1 Round 22 Win Type,Map 1 Round 23 Winner,Map 1 Round 23 Bombsite,Map 1 Round 23 Win Type,Map 5 Round 0 Winner,Map 5 Round 0 Bombsite,Map 5 Round 0 Win Type,Map 5 Round 1 Winner,Map 5 Round 1 Bombsite,Map 5 Round 1 Win Type,Map 5 Round 2 Winner,Map 5 Round 2 Bombsite,Map 5 Round 2 Win Type,Map 5 Round 3 Winner,Map 5 Round 3 Bombsite,Map 5 Round 3 Win Type,Map 5 Round 4 Winner,Map 5 Round 4 Bombsite,Map 5 Round 4 Win Type,Map 5 Round 5 Winner,Map 5 Round 5 Bombsite,Map 5 Round 5 Win Type,Map 5 Round 6 Winner,Map 5 Round 6 Bombsite,Map 5 Round 6 Win Type,Map 5 Round 7 Winner,Map 5 Round 7 Bombsite,Map 5 Round 7 Win Type,Map 5 Round 8 Winner,Map 5 Round 8 Bombsite,Map 5 Round 8 Win Type,Map 5 Round 9 Winner,Map 5 Round 9 Bombsite,Map 5 Round 9 Win Type,Map 1 Round 24 Winner,Map 1 Round 24 Bombsite,Map 1 Round 24 Win Type,Map 3 Round 13 Winner,Map 3 Round 13 Bombsite,Map 3 Round 13 Win Type,Map 3 Round 14 Winner,Map 3 Round 14 Bombsite,Map 3 Round 14 Win Type,Team 1 Ban 4,Map 5 Round 10 Winner,Map 5 Round 10 Bombsite,Map 5 Round 10 Win Type,Map 5 Round 11 Winner,Map 5 Round 11 Bombsite,Map 5 Round 11 Win Type,Map 5 Round 12 Winner,Map 5 Round 12 Bombsite,Map 5 Round 12 Win Type,Map 5 Round 13 Winner,Map 5 Round 13 Bombsite,Map 5 Round 13 Win Type,Team 1 Pick 3,Map 4 Round 13 Winner,Map 4 Round 13 Bombsite,Map 4 Round 13 Win Type
2,May 5 2018,Counter Logic Gaming,Beastcoast,Kafe,Chalet,Coastline,Border,Oregon,Bank,Skyscraper,Club House,Consulate,Counter Logic Gaming,Church/Arsenal,bomb defuse,Beastcoast,Church/Arsenal,elimination,Beastcoast,Church/Arsenal,elimination,Beastcoast,Church/Arsenal,elimination,Counter Logic Gaming,Bar/Stock,elimination,Beastcoast,Church/Arsenal,bomb defuse,Beastcoast,Church/Arsenal,elimination,Beastcoast,Armory/Archives,elimination,Counter Logic Gaming,Armory/Archives,elimination,Counter Logic Gaming,Ventilation/Workshop,bomb defuse,Counter Logic Gaming,Ventilation/Workshop,elimination,Counter Logic Gaming,Armory/Archives,elimination,Beastcoast,Armory/Archives,bomb defuse,Beastcoast,Armory/Archives,round timer,Counter Logic Gaming,Ventilation/Workshop,elimination,Beastcoast,CEO/Meeting,round timer,Beastcoast,Garage/Cafeteria,bomb defuse,Beastcoast,Lobby/Piano,elimination,Beastcoast,Garage/Cafeteria,elimination,Counter Logic Gaming,CEO/Meeting,bomb defuse,Beastcoast,CEO/Meeting,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,May 5 2018,NobleGG,Motiv8 Gaming,Skyscraper,Club House,Chalet,Border,Kafe,Coastline,Oregon,Consulate,Bank,NobleGG,Armory/Archives,elimination,Motiv8 Gaming,Ventilation/Workshop,bomb defuse,NobleGG,Tellers/Bathroom,bomb defuse,NobleGG,Armory/Archives,elimination,Motiv8 Gaming,Armory/Archives,elimination,NobleGG,Ventilation/Workshop,elimination,Motiv8 Gaming,Ventilation/Workshop,elimination,Motiv8 Gaming,Lobby/Piano,elimination,NobleGG,CEO/Meeting,elimination,NobleGG,Lobby/Piano,elimination,Motiv8 Gaming,Garage/Cafeteria,elimination ,Motiv8 Gaming,Garage/Cafeteria,elimination,Motiv8 Gaming,CEO/Meeting,elimination,NobleGG,Garage/Cafeteria,elimination,Motiv8 Gaming,Garage/Cafeteria,round timer,Motiv8 Gaming,Lockers/CCTV,elimination,NobleGG,Tellers/Archives,elimination,NobleGG,CEO/Lounge,elimination,Motiv8 Gaming,Lockers/CCTV,bomb defuse,NobleGG,Lockers/CCTV,bomb defuse,NobleGG,Tellers/Archives,elimination,NobleGG,Armory/Archives,elimination,NobleGG,Lockers/CCTV,bomb defuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Apr 24 2018,Evil Geniuses,Rogue,Coastline,Border,Chalet,Club House,Consulate,Oregon,Bank,Skyscraper,Kafe,Rogue,Tea/Karaoke,bomb defuse,Evil Geniuses,Tea/Karaoke,elimination,Rogue,Tea/Karaoke,bomb defuse,Evil Geniuses,Tea/Karaoke,bomb defuse,Evil Geniuses,Tea/Karaoke,elimination,Evil Geniuses,Tea/Karaoke,elimination,Rogue,Kitchen/Bbq,elimination,Rogue,Church/Arsenal,elimination,Evil Geniuses,Church/Arsenal,elimination,Rogue,Church/Arsenal,elimination,Evil Geniuses,Church/Arsenal,elimination,Rogue,Church/Arsenal,elimination,Evil Geniuses,Church/Arsenal,elimination,Evil Geniuses,Bar/Stock,round timer,Rogue,Church/Arsenal,elimination,Rogue,Bar/Cocktail,bomb defuse,Evil Geniuses,Mining/Dining,elimination,Evil Geniuses,Bar/Cocktail,elimination,Evil Geniuses,Mining/Dining,elimination,Rogue,Mining/Dining,elimination,Rogue,Bar/Cocktail,elimination,Rogue,Kitchen/Bbq,round timer,Rogue,Bar/Cocktail,bomb defuse,Rogue,Tea/Karaoke,elimination,Evil Geniuses,Tea/Karaoke,elimination,Evil Geniuses,Tea/Karaoke,elimination,Rogue,Church/Arsenal,elimination,Rogue,Church/Arsenal,elimination,Rogue,Mining/Dining,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Apr 18 2018,Counter Logic Gaming,Honor Among Thieves,,,,,,,,,,Honor Among Thieves,Armory/Archives,round timer,Honor Among Thieves,Armory/Archives,bomb defuse,Counter Logic Gaming,Ventilation/Workshop,bomb defuse,Honor Among Thieves,Ventilation/Workshop,elimination,Counter Logic Gaming,Armory/Archives,elimination,Counter Logic Gaming,Armory/Archives,elimination,Honor Among Thieves,Armory/Archives,round timer,Counter Logic Gaming,Church/Arsenal,elimination,Counter Logic Gaming,Church/Arsenal,bomb defuse,Honor Among Thieves,Bar/Stock,bomb defuse,Honor Among Thieves,Church/Arsenal,round timer,,,,,,,,,,,,,Honor Among Thieves,Garage/Cafeteria,elimination,Counter Logic Gaming,CEO/Meeting,elimination,Honor Among Thieves,Lobby/Piano,elimination,Counter Logic Gaming,Garage/Cafeteria,elimination,Counter Logic Gaming,Garage/Cafeteria,elimination,Honor Among Thieves,CEO/Meeting,elimination,Honor Among Thieves,Ventilation/Workshop,bomb defuse,Counter Logic Gaming,CEO/Meeting,bomb defuse,,,,,,,,,,,,,,,,Counter Logic Gaming,Garage/Cafeteria,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Apr 17 2018,Rogue,Spacestation Gaming,Border,Consulate,Bank,Club House,Kafe,Skyscraper,Chalet,Oregon,Coastline,Rogue,Laundry/Supply,bomb defuse,Spacestation Gaming,Laundry/Supply,bomb defuse,Rogue,Laundry/Supply,elimination,Spacestation Gaming,Laundry/Supply,bomb defuse,Rogue,Laundry/Supply,elimination,Rogue,Dorms/Kids,elimination,Rogue,Dorms/Kids,bomb defuse,Rogue,Church/Arsenal,round timer,Rogue,Church/Arsenal,bomb defuse,Spacestation Gaming,Bar/Stock,elimination,Rogue,Church/Arsenal,elimination,Rogue,Church/Arsenal,elimination ,Spacestation Gaming,Bar/Stock,elimination,Rogue,Bar/Stock,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apr 17 2018,Evil Geniuses,SK Gaming,Chalet,Consulate,Coastline,Club House,Kafe,Oregon,Skyscraper,Border,Bank,SK Gaming,Armory/Archives,bomb defuse,Evil Geniuses,Armory/Archives,bomb defuse,Evil Geniuses,Ventilation/Workshop,elimination,Evil Geniuses,Armory/Archives,bomb defuse,Evil Geniuses,Armory/Archives,elimination,Evil Geniuses,Armory/Archives,elimination,,,,Evil Geniuses,Church/Arsenal,round timer,SK Gaming,Church/Arsenal,elimination ,SK Gaming,Bar/Stock,elimination,SK Gaming,Bar/Stock,elimination,Evil Geniuses,Church/Arsenal,elimination,Evil Geniuses,Bar/Stock,bomb defuse,Evil Geniuses,Bar/Stock,elimination,Evil Geniuses,Cash/CCTV,bomb defuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Apr 10 2018,SK Gaming,Mousesports,Club House,Oregon,Coastline,Chalet,Kafe,Border,Skyscraper,Consulate,Bank,Mousesports,Garage/Cafeteria,round timer,SK Gaming,CEO/Meeting,elimination,SK Gaming,Lobby/Piano,bomb defuse,Mousesports,Lobby/Piano,bomb defuse,Mousesports,CEO/Meeting,elimination,Mousesports,CEO/Meeting,bomb defuse,Mousesports,Garage/Cafeteria,elimination,Mousesports,Wine Cellar/Snowmobile,bomb defuse,Mousesports,Kitchen/Trophy,elimination,Mousesports,Wine Cellar/Snowmobile,bomb defuse,SK Gaming,Wine Cellar/Snowmobile,bomb defuse,SK Gaming,Kitchen/Trophy,elimination,SK Gaming,Kitchen/Trophy,elimination,SK Gaming,Wine Cellar/Snowmobile,elimination,SK Gaming,Kitchen/Trophy,bomb defuse,Mousesports,CEO/Lounge,elimination,Mousesports,Lockers/CCTV,elimination,SK Gaming,Lockers/CCTV,bomb defuse,Mousesports,Lockers/CCTV,bomb defuse,SK Gaming,Open Area/Kitchen,elimination,SK Gaming,CEO/Lounge,round timer,,,,SK Gaming,CEO/Lounge,bomb defuse,,,,,,,,,,,,,,,,SK Gaming,Lockers/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Apr 10 2018,Spacestation Gaming,Obey Alliance,Skyscraper,Chalet,Coastline,Bank,Kafe,Club House,Oregon,Consulate,Border,Spacestation Gaming,Garage/Cafeteria,round timer,Obey Alliance,CEO/Meeting,elimination,Spacestation Gaming,CEO/Meeting,elimination,Obey Alliance,Lobby/Piano,elimination,Obey Alliance,Garage/Cafeteria,bomb defuse,Spacestation Gaming,CEO/Meeting,elimination,Obey Alliance,CEO/Meeting,bomb defuse,Obey Alliance,Lockers/CCTV,elimination,Obey Alliance,Lockers/CCTV,bomb defuse,Spacestation Gaming,Tellers/Archives,bomb defuse,Obey Alliance,Lockers/CCTV,bomb defuse,Spacestation Gaming,Lockers/CCTV,bomb defuse,Obey Alliance,CEO/Lounge,bomb defuse,Spacestation Gaming,Lockers/CCTV,bomb defuse,Spacestation Gaming,Lockers/CCTV,round timer,Obey Alliance,Armory/Archives,bomb defuse,Obey Alliance,Armory/Archives,elimination,Spacestation Gaming,Armory/Archives,round timer,Spacestation Gaming,Ventilation/Workshop,elimination,Spacestation Gaming,Ventilation/Workshop,elimination,Obey Alliance,Armory/Archives,elimination,Obey Alliance,CEO/Meeting,elimination,Obey Alliance,Armory/Archives,bomb defuse,,,,,,,,,,Spacestation Gaming,Lockers/CCTV,bomb defuse,Spacestation Gaming,Lockers/CCTV,elimination,Spacestation Gaming,Ventilation/Workshop,elimination,Spacestation Gaming,Armory/Archives,elimination,Spacestation Gaming,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Apr 3 2018,Counter Logic Gaming,Mousesports,Skyscraper,Coastline,Border,Kafe,Chalet,Club House,Oregon,Bank,Consulate,Counter Logic Gaming,Mining/Dining,bomb defuse,Mousesports,Mining/Dining,elimination,Counter Logic Gaming,Mining/Dining,elimination,Counter Logic Gaming,Mining/Dining,round timer,Mousesports,Bar/Cocktail,elimination,Mousesports,Bar/Cocktail,bomb defuse,Mousesports,Mining/Dining,elimination,Mousesports,Lockers/CCTV,elimination,Counter Logic Gaming,Lockers/CCTV,round timer,Counter Logic Gaming,Tellers/Archives,bomb defuse,Mousesports,Tellers/Archives,elimination,Mousesports,Lockers/CCTV,elimination,Mousesports,Lockers/CCTV,bomb defuse,Mousesports,Tellers/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,Mousesports,Mining/Dining,bomb defuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Apr 3 2018,Rogue,SK Gaming,Chalet,Coastline,Bank,Consulate,Skyscraper,Kafe,Club House,Border,Oregon,SK Gaming,Armory/Archives,bomb defuse,Rogue,Armory/Archives,bomb defuse,Rogue,Ventilation/Workshop,round timer,SK Gaming,Armory/Archives,round timer,SK Gaming,Armory/Archives,bomb defuse,Rogue,Customs/Supply,bomb defuse,Rogue,Armory/Archives,elimination,Rogue,Lobby/Piano,elimination,SK Gaming,CEO/Meeting,elimination,SK Gaming,Garage/Cafeteria,elimination,Rogue,Lobby/Piano,bomb defuse,Rogue,Garage/Cafeteria,elimination,SK Gaming,CEO/Meeting,elimination,SK Gaming,Lobby/Piano,bomb defuse,SK Gaming,Lobby/Piano,elimination,Rogue,Dorms/Kids,elimination,SK Gaming,Dorms/Kids,elimination,Rogue,Laundry/Supply,elimination,SK Gaming,Laundry/Supply,elimination,SK Gaming,Dorms/Kids,bomb defuse,Rogue,Dorms/Kids,elimination,SK Gaming,Armory/Archives,round timer ,Rogue,Laundry/Supply,elimination,SK Gaming,Customs/Supply,round timer,Rogue,Ventilation/Workshop,round timer,Rogue,Armory/Archives,elimination,,,,,,,Rogue,Laundry/Supply,bomb defuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
