,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
0,SHUTTLE,1.08,16-13 (+3),2-1 (+1),76%,0.76,38%,0,0,47%,Lion,Mira
1,SKYS,1.35,24-14 (+10),6-1 (+5),76%,1.14,33%,0,0,35%,Zofia,Vigil
2,LAXING,1.05,15-15 (+0),3-1 (+2),76%,0.71,29%,1,0,33%,Buck,Lesion
3,CHAP,0.62,5-17 (-12),0-3 (-3),57%,0.24,19%,0,2,40%,Thermite,Smoke
4,ENGLAND,0.85,12-16 (-4),4-0 (+4),57%,0.57,24%,0,1,64%,Glaz,Castle
5,FOXA,0.75,11-16 (-5),0-6 (-6),57%,0.52,24%,0,0,67%,Glaz,Castle
6,GODDESS,0.94,13-15 (-2),1-2 (-1),67%,0.62,29%,0,1,50%,Thermite,Bandit
7,SHLONGII,1.24,21-13 (+8),3-4 (-1),62%,1,38%,0,0,33%,Montagne,Jager
8,EVLWAFFLE,1.13,16-11 (+5),2-0 (+2),57%,0.76,48%,0,2,36%,Thermite,Mira
9,RETRO,0.88,13-17 (-4),0-3 (-3),71%,0.62,19%,0,0,23%,Hibana,Smoke
0,YELLOW,1.11,20-17 (+3),3-2 (+1),70%,0.87,26%,0,0,58%,Twitch,Jager
1,BILLBOARD,1.11,19-15 (+4),2-2 (+0),61%,0.83,35%,0,1,21%,Blackbeard,Smoke
2,TALON,1.03,16-16 (+0),3-4 (-1),61%,0.7,30%,1,2,56%,Hibana,Bandit
3,COOKIEZ,1.03,16-15 (+1),1-1 (+0),74%,0.7,35%,0,0,36%,Thermite,Mira
4,KUUSH,0.53,7-20 (-13),2-3 (-1),48%,0.3,13%,0,0,50%,Glaz,Pulse
5,BREEZY,0.72,11-17 (-6),0-4 (-4),52%,0.48,26%,0,0,50%,Lion,Echo
6,HEAVY,1.18,19-11 (+8),5-2 (+3),61%,0.83,52%,1,1,21%,Glaz,Castle
7,ACID,0.97,11-16 (-5),1-0 (+1),74%,0.48,30%,0,4,40%,Thermite,Mira
8,RAMPY,1.02,18-16 (+2),2-3 (-1),61%,0.78,30%,0,0,41%,Zofia,Jager
9,YETI,1.28,24-18 (+6),4-2 (+2),83%,1.04,22%,0,0,57%,Hibana,Smoke
0,NECROX,1.09,23-20 (+3),1-1 (+0),69%,0.79,31%,1,1,35%,Glaz,Smoke
1,YUNG,0.97,20-21 (-1),5-1 (+4),69%,0.69,28%,0,0,42%,Hibana,Smoke
2,BC,0.79,13-20 (-7),0-1 (-1),62%,0.45,31%,0,0,50%,Lion,Mira
3,NVK,1.02,19-19 (+0),3-6 (-3),69%,0.66,34%,0,1,63%,Zofia,Vigil
4,CANADIAN,1.01,24-20 (+4),6-4 (+2),59%,0.83,31%,0,0,39%,IQ,Bandit
5,BRYAN,0.94,19-20 (-1),2-4 (-2),69%,0.66,31%,1,0,21%,Thatcher,Smoke
6,EASILYY,1.19,23-17 (+6),3-2 (+1),69%,0.79,41%,1,3,52%,Lion,Echo
7,SLASHUG,0.85,20-26 (-6),5-3 (+2),62%,0.69,10%,0,0,47%,IQ,Vigil
8,ECL9PSE,1.15,24-17 (+7),2-3 (-1),59%,0.83,41%,2,1,41%,Zofia,Jager
9,GEOO,0.74,14-21 (-7),1-3 (-2),45%,0.48,28%,0,1,38%,Lion,Bandit
0,SHUTTLE,1.35,22-11 (+11),2-0 (+2),70%,1.1,45%,0,0,55%,Lion,Mira
1,SKYS,1.12,16-13 (+3),3-5 (-2),65%,0.8,35%,1,0,69%,Zofia,Jager
2,LAXING,1.28,20-14 (+6),2-1 (+1),80%,1,30%,0,1,50%,Blackbeard,Castle
3,CHAP,0.79,10-15 (-5),2-2 (+0),50%,0.5,25%,1,1,44%,Thermite,Smoke
4,ENGLAND,0.72,7-13 (-6),1-2 (-1),50%,0.35,35%,0,1,43%,Glaz,Valkyrie
5,YELLOW,0.71,9-17 (-8),2-1 (+1),55%,0.45,15%,0,1,50%,Blitz,Jager
6,BILLBOARD,0.58,9-17 (-8),2-3 (-1),40%,0.45,15%,0,0,33%,Lion,Smoke
7,TALON,1.48,23-11 (+12),3-2 (+1),80%,1.15,45%,1,1,41%,Finka,Bandit
8,COOKIEZ,0.85,9-15 (-6),1-1 (+0),75%,0.45,25%,0,1,57%,Hibana,Mira
9,KUUSH,1.03,16-15 (+1),2-3 (-1),70%,0.8,25%,0,0,75%,Dokkaebi,Lesion
0,BRYAN,0.93,9-9 (+0),1-2 (-1),57%,0.64,36%,0,0,22%,Hibana,Smoke
1,EASILYY,1.31,14-8 (+6),0-2 (-2),79%,1,43%,0,0,50%,Lion,Pulse
2,SLASHUG,1.37,15-7 (+8),2-2 (+0),64%,1.07,50%,0,3,60%,Jackal,Rook
3,ECL9PSE,0.79,10-14 (-4),0-4 (-4),64%,0.71,0%,0,0,67%,Sledge,Bandit
4,GEOO,1.18,9-6 (+3),1-0 (+1),86%,0.64,57%,1,0,78%,Buck,Mira
5,CHALA,1,10-11 (-1),1-1 (+0),64%,0.71,21%,0,2,44%,Thermite,Smoke
6,DAAVE,0.8,8-12 (-4),3-0 (+3),57%,0.57,14%,0,0,63%,Lion,Bandit
7,THINKINGNADE,1.25,14-9 (+5),3-1 (+2),71%,1,36%,0,0,33%,Buck,Mute
8,TRIPPEN,0.9,10-12 (-2),3-0 (+3),50%,0.71,14%,0,1,60%,Ash,Mira
9,REDEEMER,0.3,2-13 (-11),0-2 (-2),29%,0.14,7%,0,0,50%,Lion,Lesion
0,NECROX,0.96,8-9 (-1),0-1 (-1),57%,0.57,36%,0,2,25%,Glaz,Smoke
1,YUNG,1.3,12-6 (+6),1-2 (-1),71%,0.86,57%,0,1,17%,Hibana,Smoke
2,BC,0.77,5-9 (-4),0-1 (-1),57%,0.36,36%,1,0,80%,Lion,Mira
3,NVK,1.38,16-9 (+7),1-1 (+0),79%,1.14,36%,0,0,50%,Zofia,Vigil
4,CANADIAN,1,11-10 (+1),4-3 (+1),50%,0.79,29%,0,1,60%,Buck,Pulse
5,ADAM,1.05,12-10 (+2),3-2 (+1),43%,0.86,29%,0,0,67%,Thermite,Rook
6,MINT,0.57,6-11 (-5),0-2 (-2),36%,0.43,21%,0,0,33%,Glaz,Mira
7,HOTANCOLD,0.67,7-13 (-6),3-2 (+1),57%,0.5,7%,0,0,57%,Buck,Doc
8,JARVIS,1.22,11-8 (+3),2-0 (+2),79%,0.79,43%,0,2,30%,Sledge,Pulse
9,POJOMAN,0.8,7-11 (-4),0-0 (+0),57%,0.5,21%,0,1,14%,Hibana,Smoke
0,BEASTLY,1.12,17-18 (-1),1-0 (+1),83%,0.74,22%,0,3,27%,Lion,Pulse
1,VANDAL,1.23,19-12 (+7),3-2 (+1),70%,0.83,48%,1,1,41%,Thermite,Smoke
2,MARKTHESHARK,0.79,13-19 (-6),3-4 (-1),61%,0.57,17%,0,0,50%,Lion,Castle
3,NEPTUNEZ,0.91,14-18 (-4),0-1 (-1),70%,0.61,22%,0,1,62%,Hibana,Echo
4,VERTCL,1.01,18-16 (+2),3-6 (-3),57%,0.78,30%,1,1,47%,Hibana,Pulse
5,ADAM,1.06,17-18 (-1),3-3 (+0),74%,0.74,22%,0,2,53%,Zofia,Echo
6,MINT,0.89,12-16 (-4),2-1 (+1),61%,0.52,30%,1,1,25%,Blitz,Bandit
7,HOTANCOLD,1.19,23-18 (+5),6-2 (+4),74%,1,22%,1,0,55%,Lion,Valkyrie
8,JARVIS,1.09,17-14 (+3),2-1 (+1),74%,0.74,39%,0,0,60%,Buck,Vigil
9,POJOMAN,0.91,13-15 (-2),0-3 (-3),61%,0.57,35%,0,3,38%,Thermite,Mira
0,BENJI,0.86,15-20 (-5),0-2 (-2),68%,0.54,29%,1,0,36%,Lion,Bandit
1,MAHMAN,1.16,24-20 (+4),6-5 (+1),79%,0.86,29%,0,0,61%,Buck,Smoke
2,BOSCO,1.08,25-21 (+4),4-4 (+0),61%,0.89,25%,1,0,32%,Sledge,Smoke
3,KRAZY,1.11,20-17 (+3),2-1 (+1),71%,0.71,39%,1,3,30%,Hibana,Castle
4,GURMY,0.89,14-21 (-7),1-2 (-1),64%,0.5,25%,0,6,27%,Thermite,Mira
5,CHALA,1.03,20-21 (-1),6-1 (+5),75%,0.71,25%,1,1,30%,Thermite,Smoke
6,DAAVE,0.69,12-22 (-10),2-4 (-2),50%,0.43,21%,0,0,58%,Lion,Jager
7,THINKINGNADE,0.99,19-18 (+1),0-4 (-4),61%,0.68,36%,0,2,41%,Buck,Pulse
8,TRIPPEN,1.11,25-22 (+3),3-4 (-1),57%,0.89,21%,1,1,52%,Ash,Mira
9,REDEEMER,1.22,23-16 (+7),3-0 (+3),79%,0.82,43%,1,0,35%,Blackbeard,Lesion
0,SHUTTLE,0.96,9-13 (-4),0-1 (-1),80%,0.6,13%,0,1,75%,Lion,Mira
1,SKYS,0.63,7-12 (-5),1-4 (-3),40%,0.47,20%,0,1,71%,Ash,Pulse
2,LAXING,1.2,14-11 (+3),1-1 (+0),67%,0.93,27%,1,0,29%,Jackal,Mute
3,CHAP,0.73,7-12 (-5),1-3 (-2),53%,0.47,20%,0,1,43%,Thermite,Smoke
4,ENGLAND,0.86,10-12 (-2),1-2 (-1),60%,0.67,20%,0,0,60%,Glaz,Castle
5,BEASTLY,0.98,9-8 (+1),1-1 (+0),67%,0.6,47%,0,0,33%,Sledge,Castle
6,VANDAL,1.26,10-7 (+3),1-1 (+0),80%,0.67,53%,2,1,22%,Ying,Smoke
7,MARKTHESHARK,0.97,11-11 (+0),2-1 (+1),67%,0.73,27%,0,0,27%,Lion,Lesion
8,NEPTUNEZ,1.38,15-9 (+6),2-0 (+2),80%,1,40%,1,2,38%,Hibana,Smoke
9,VERTCL,1.17,15-12 (+3),5-1 (+4),67%,1,20%,0,0,40%,IQ,Caveira
0,BRYAN,0.95,16-17 (-1),3-2 (+1),59%,0.59,37%,1,0,40%,Hibana,Smoke
1,EASILYY,1.21,21-16 (+5),3-1 (+2),70%,0.78,41%,1,1,44%,Lion,Mira
2,SLASHUG,0.91,15-18 (-3),3-4 (-1),63%,0.56,33%,1,1,57%,Capitao,Valkyrie
